BRAND,MODEL,VARIANT,MPG,TRANSMISSION,DOORS,SUBMODEL,MSRP
Acura,TLX,SH-AWD w/Advance Package 4dr Sedan AWD (3.5L 6cyl 9A),Highway:31;City:21,AUTOMATIC,4,TLX Sedan,44800
Acura,TLX,4dr Sedan (3.5L 6cyl 9A),Highway:34;City:21,AUTOMATIC,4,TLX Sedan,35320
Acura,TLX,Advance Package 4dr Sedan (3.5L 6cyl 9A),Highway:34;City:21,AUTOMATIC,4,TLX Sedan,42600
Acura,TLX,Technology Package 4dr Sedan (2.4L 4cyl 8AM),Highway:35;City:24,AUTOMATED MANUAL,4,TLX Sedan,35500
Acura,TLX,SH-AWD w/Technology Package 4dr Sedan AWD (3.5L 6cyl 9A),Highway:31;City:21,AUTOMATIC,4,TLX Sedan,41575
Acura,TLX,Technology Package 4dr Sedan (3.5L 6cyl 9A),Highway:34;City:21,AUTOMATIC,4,TLX Sedan,39375
Acura,TLX,4dr Sedan (2.4L 4cyl 8AM),Highway:35;City:24,AUTOMATED MANUAL,4,TLX Sedan,31445
Alfa Romeo,4C,2dr Coupe (1.7L 4cyl Turbo 6AM),Highway:34;City:24,AUTOMATED MANUAL,2,4C Coupe,53900
Alfa Romeo,4C,Launch Edition 2dr Coupe (1.7L 4cyl Turbo 6AM),Highway:34;City:24,AUTOMATED MANUAL,2,4C Coupe,68400
Audi,A3,1.8 TFSI Premium Plus 4dr Sedan (1.8L 4cyl Turbo 6AM),Highway:33;City:23,AUTOMATED MANUAL,4,A3 Sedan,32450
Audi,A3,1.8 TFSI Premium 4dr Sedan (1.8L 4cyl Turbo 6AM),Highway:33;City:23,AUTOMATED MANUAL,4,A3 Sedan,29900
Audi,A3,2.0 TFSI Prestige quattro 4dr Sedan AWD (2.0L 4cyl Turbo 6AM),Highway:33;City:24,AUTOMATED MANUAL,4,A3 Sedan,41650
Audi,A3,2.0 TFSI Premium quattro 4dr Sedan AWD (2.0L 4cyl Turbo 6AM),Highway:33;City:24,AUTOMATED MANUAL,4,A3 Sedan,33200
Audi,A3,1.8 TFSI Prestige 4dr Sedan (1.8L 4cyl Turbo 6AM),Highway:33;City:23,AUTOMATED MANUAL,4,A3 Sedan,38350
Audi,A3,2.0 TFSI Premium Plus quattro 4dr Sedan AWD (2.0L 4cyl Turbo 6AM),Highway:33;City:24,AUTOMATED MANUAL,4,A3 Sedan,35750
Audi,A4,2.0T Premium quattro 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Highway:31;City:22,AUTOMATIC,4,A4 Sedan,37600
Audi,A4,2.0T Prestige 4dr Sedan (2.0L 4cyl Turbo CVT),Highway:32;City:24,AUTOMATIC,4,A4 Sedan,42900
Audi,A4,2.0T Prestige quattro 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Highway:31;City:22,AUTOMATIC,4,A4 Sedan,45000
Audi,A4,2.0T Premium 4dr Sedan (2.0L 4cyl Turbo CVT),Highway:32;City:24,AUTOMATIC,4,A4 Sedan,35500
Audi,A4,2.0T Premium quattro 4dr Sedan AWD (2.0L 4cyl Turbo 6M),Highway:32;City:22,MANUAL,4,A4 Sedan,36400
Audi,A4,2.0T Prestige quattro 4dr Sedan AWD (2.0L 4cyl Turbo 6M),Highway:32;City:22,MANUAL,4,A4 Sedan,43800
Audi,A4,2.0T Premium Plus quattro 4dr Sedan AWD (2.0L 4cyl Turbo 6M),Highway:32;City:22,MANUAL,4,A4 Sedan,38500
Audi,A4,2.0T Premium Plus quattro 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Highway:31;City:22,AUTOMATIC,4,A4 Sedan,39700
Audi,A4,2.0T Premium Plus 4dr Sedan (2.0L 4cyl Turbo CVT),Highway:32;City:24,AUTOMATIC,4,A4 Sedan,37600
Audi,A5,2.0T Premium quattro 2dr Coupe AWD (2.0L 4cyl Turbo 8A),Highway:31;City:22,AUTOMATIC,2,A5 Coupe,41200
Audi,A5,2.0T Prestige quattro 2dr Coupe AWD (2.0L 4cyl Turbo 8A),Highway:31;City:22,AUTOMATIC,2,A5 Coupe,49600
Audi,A5,2.0T Prestige quattro 2dr Coupe AWD (2.0L 4cyl Turbo 6M),Highway:32;City:22,MANUAL,2,A5 Coupe,48400
Audi,A5,2.0T Premium Plus quattro 2dr Coupe AWD (2.0L 4cyl Turbo 6M),Highway:32;City:22,MANUAL,2,A5 Coupe,42300
Audi,A5,2.0T Premium Plus quattro 2dr Coupe AWD (2.0L 4cyl Turbo 8A),Highway:31;City:22,AUTOMATIC,2,A5 Coupe,43500
Audi,A5,2.0T Premium quattro 2dr Coupe AWD (2.0L 4cyl Turbo 6M),Highway:32;City:22,MANUAL,2,A5 Coupe,40000
Audi,A6,2.0T Premium Plus 4dr Sedan (2.0L 4cyl Turbo CVT),Highway:33;City:25,AUTOMATIC,4,A6 Sedan,48350
Audi,A6,2.0T Premium 4dr Sedan (2.0L 4cyl Turbo CVT),Highway:33;City:25,AUTOMATIC,4,A6 Sedan,44800
Audi,A6,2.0T Premium quattro 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Highway:29;City:20,AUTOMATIC,4,A6 Sedan,46900
Audi,A6,3.0T Premium Plus quattro 4dr Sedan AWD (3.0L 6cyl S/C 8A),Highway:27;City:18,AUTOMATIC,4,A6 Sedan,56300
Audi,A6,2.0T Premium Plus quattro 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Highway:29;City:20,AUTOMATIC,4,A6 Sedan,50450
Audi,A6,3.0T Prestige quattro 4dr Sedan AWD (3.0L 6cyl S/C 8A),Highway:27;City:18,AUTOMATIC,4,A6 Sedan,60100
Audi,A7,Premium Plus quattro 4dr Sedan AWD (3.0L 6cyl S/C 8A),Highway:28;City:18,AUTOMATIC,4,A7 Sedan,65900
Audi,A7,Prestige quattro 4dr Sedan AWD (3.0L 6cyl S/C 8A),Highway:28;City:18,AUTOMATIC,4,A7 Sedan,69750
Audi,Q3,Prestige 4dr SUV (2.0L 4cyl Turbo 6A),Highway:29;City:20,AUTOMATIC,4,Q3 SUV,36400
Audi,Q3,Prestige quattro 4dr SUV AWD (2.0L 4cyl Turbo 6A),Highway:28;City:20,AUTOMATIC,4,Q3 SUV,38500
Audi,Q3,Premium Plus quattro 4dr SUV AWD (2.0L 4cyl Turbo 6A),Highway:28;City:20,AUTOMATIC,4,Q3 SUV,34600
Audi,Q3,Premium Plus 4dr SUV (2.0L 4cyl Turbo 6A),Highway:29;City:20,AUTOMATIC,4,Q3 SUV,32500
